,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
0,2015-04-26,Bank account or service,Other bank product/service,Deposits and withdrawals,,"RE : XXXX XXXX XXXX-PRIVILEGED AND CONFIDENTIAL INFORMATIONDear Consumer Financial Protection Bureau : In XX/XX/XXXX, I became aware of an annual interest payment check ( Wachovia check number XXXX, Account XXXX, Amount {$1.00}, dated XX/XX/XXXX ), For Interest on rent security deposit, No void remark time limits written on check. 

In XX/XX/XXXX I had dual residency : XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX XXXX XXXX. During that time I never received an annual interest payment despite XXXX XXXX through XXXX mandate : "" landlords must pay annual interest amount to tenants. If the tenant is going to apply the security deposit to rent because the landlord failed to pay the annual interest in CASH to the tenant or failed to provide the tenant with the annual update of the account information, the landlord has XXXX days to rectify these failures. "" My security deposit ( totaling {$750.00} ) was never returned to ME, XXXX XXXX XXXX, and I never received any annual interest payment or knowledge of the XX/XX/XXXX check amount until XX/XX/XXXX. This same apartment complex, XXXX managed by XXXX illegally evicted ME, XXXX XXXX XXXX. The eviction is masqueraded as a legal judgment of possession but the judgment of possession is ILL GOT AND ILLEGAL, the warrant of removal is ILL GOT AND ILLEGAL BECAUSE THEIR LAWYERS XXXX XXXX and XXXX XXXX NEVER EFFECTUATED SERVICE OF PROCESS MEANING : I never received a complaint and summons and if I do not receive a complaint and summons how then can I properly defend Myself or inform a designated Representative to defend Me, XXXX XXXX XXXX, if I do not know the date, time, or venue. Lawyers XXXX XXXX and XXXX XXXX are ( located at XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX, Phone : XXXX, fax : XXXX ) have caused ME, XXXX XXXX XXXX, great unnecessary grief and sorrow. 

Since that time Wachovia is now Wells Fargo. I have attempted on several occasions to deposit and or cash the check totaling {$1.00} AND ALL INTEREST SINCE XX/XX/XXXX to no avail. I have contacted and followed through with the state XXXX escheatment protocol to claim any monies unclaimed by Myself, and XXXX is still not cooperating under the leadership of XXXX XXXX XXXX. When are you going to learn. 
",,Wells Fargo & Company,GA,319XX,,Consent provided,Web,2015-04-26,Closed with explanation,Yes,Yes,1347613
1,2015-01-30,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"HCFS Health Care Financial Services, Inc.",CA,90036,,,Web,2015-01-30,Closed with explanation,Yes,Yes,1218613
2,2014-01-10,Credit card,,APR or interest rate,,,,TD Bank US Holding Company,FL,33180,,,Web,2014-01-15,Closed with explanation,Yes,Yes,663281
3,2015-12-07,Credit card,,Payoff process,,,,Capital One,IL,60610,,Consent not provided,Web,2015-12-07,Closed with explanation,Yes,Yes,1685130
4,2012-04-05,Bank account or service,Checking account,Deposits and withdrawals,,,,"Citizens Financial Group, Inc.",PA,18337,,,Web,2012-04-05,Closed with relief,Yes,Yes,44225
5,2015-07-22,Consumer Loan,Vehicle loan,Taking out the loan or lease,,"I went into a XXXX dealership and was told I would receive a rate of .9 %. We agreed to a price and vehicle with the specific options I wanted. I explained that my trade in was n't running ( alternator died XXXX, and I would have to go charge the battery for the trip to the dealership. I came back the next day with my trade in and was pushed off to another salesman who said that they could not honor the price or the rate that we agreed to yesterday. I had driven my trade down there already and it was n't going anywhere. I was unable to do anything but take the new terms they offered. I then met with the man responsible for the contract and I noticed that one of the options that I had requested did not appear on the contract XXXX cross bars ) and specifically asked him about that. He said that they were included with the roof rails that were on the contract. I to possession of the vehicle and made the appointment at the dealership to have the options installed that we had agreed on. After having the options installed they indicated that the cross bars were not included. I questioned the man that wrote up the contract for us and of whom I had asked about the cross bars before and he claims he never said the cross bars were included. At this dealership every person that I spoke with deceived us and then passed us on to someone else. All of these sales and finance staff acting as agents for Honda XXXX Finance appeared to have a routine pattern of deception and shifting responsibility. I am now paying more than I originally agreed for both the loan rate and options on the car. 
",,American Honda Finance Corporation,UT,840XX,,Consent provided,Web,2015-07-22,Closed with explanation,Yes,Yes,1481520
6,2012-01-06,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Bank of America,CA,90814,Older American,,Web,2012-01-09,Closed without relief,Yes,Yes,10631
7,2015-04-01,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,"When requested, Portfolio Recovery Services ( PRS ) claimed they acted on behalf of XXXX XXXX. However, when asked to provide documentation supporting the debt, PRS did not respond in a timely manner. Instead, the company would just send letters saying, "" this letter verifies that you owe $ XXXX "" but without any supporting documentation. 

It took more than a year to get documentation from XXXX XXXX. PRS never forwarded or provided any proof, even after multiple requests. 

XXXX did not provide notice to me that the account had been transferred and XXXX XXXX refused to provide documentation for a full year. 

PRS never provided any verification documents even though it was requested on multiple occasions. 
",,"Portfolio Recovery Associates, Inc.",UT,840XX,,Consent provided,Web,2015-04-01,Closed with non-monetary relief,Yes,Yes,1312001
8,2015-08-04,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,"I believe I am late on a payment with Home Depot - handled through Citi. So, about 35 days delinquent. I was called twice yesterday ( XXXX/XXXX/2015 ) and today ( XXXX/XXXX/2015 ) already 4 times on my mobile ( XXXX XXXX ) Call from ( XXXX ) XXXX XXXXCall from ( XXXX ) XXXX XXXXCall from ( XXXX ) XXXX XXXXCall from ( XXXX ) XXXX XXXXThis is excessive and abusive to call so much in one day. not once was a message left. i did not give them permission to call my mobile number. 
",Company chooses not to provide a public response,Citibank,UT,840XX,,Consent provided,Web,2015-08-04,Closed with non-monetary relief,Yes,Yes,1502087
9,2012-02-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,95758,,,Referral,2012-02-29,Closed without relief,Yes,Yes,28161
